14:20:03:923 | INFO  | o.s.o.j.LocalContainerEntityManagerFactoryBean | Closing JPA EntityManagerFactory for persistence unit 'default'
14:20:03:923 | INFO  | o.h.t.h.SchemaExport | HHH000227: Running hbm2ddl schema export
14:20:03:935 | INFO  | o.h.t.h.SchemaExport | HHH000230: Schema export complete
14:21:44:665 | INFO  | o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext | Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@3c5c9063: startup date [Thu Aug 04 14:20:15 CEST 2016]; root of context hierarchy
14:21:44:676 | INFO  | o.s.c.s.DefaultLifecycleProcessor | Stopping beans in phase 0
14:21:44:682 | INFO  | o.s.b.a.e.j.EndpointMBeanExporter | Unregistering JMX-exposed beans on shutdown
14:21:44:688 | INFO  | o.s.b.a.e.j.EndpointMBeanExporter | Unregistering JMX-exposed beans
14:21:44:690 | INFO  | o.s.j.e.a.AnnotationMBeanExporter | Unregistering JMX-exposed beans on shutdown
14:21:44:693 | INFO  | o.s.o.j.LocalContainerEntityManagerFactoryBean | Closing JPA EntityManagerFactory for persistence unit 'default'
14:21:44:693 | INFO  | o.h.t.h.SchemaExport | HHH000227: Running hbm2ddl schema export
14:21:44:702 | INFO  | o.h.t.h.SchemaExport | HHH000230: Schema export complete
